Object_ID,Class_Label,Confidence_Score,X_Min,Y_Min,X_Max,Y_Max,OUT_Prob,FAR_Prob,FAD_Prob,NEG_Prob,CLU_Prob,RAD_Prob,REFL_Prob,TEXT_Prob
0,cup,0.9920,349,553,516,693,0.2596,0.0298,0.2848,0.0308,0.6059,0.0725,0.6884,0.9998
1,potted_plant,0.9963,432,78,810,696,0.0099,0.0901,0.5468,0.0104,0.9641,0.1890,0.4300,0.0938
2,dining_table,0.8916,3,624,902,1009,0.0682,0.1731,0.4265,0.0053,0.9492,0.2767,0.4473,0.7716
3,laptop,0.9991,2,659,504,925,0.7483,0.0788,0.4726,0.3290,0.9875,0.8599,0.2782,0.7828
4,chair,0.9985,892,427,1410,877,0.0155,0.2048,0.3938,0.0011,0.6640,0.2873,0.7758,0.2038
5,tv,0.9991,1370,86,1790,322,0.3761,0.5922,0.4816,0.0585,0.6811,0.4121,0.9286,0.9990
6,chair,0.9729,1417,553,1822,950,0.0726,0.0469,0.3423,0.0044,0.9419,0.7329,0.5853,0.4479
7,chair,0.9364,1074,860,1565,1020,0.5788,0.0213,0.2141,0.0258,0.7045,0.4625,0.9282,0.8997
