Object_ID,Class_Label,Confidence_Score,X_Min,Y_Min,X_Max,Y_Max,OUT_Prob,FAR_Prob,FAD_Prob,NEG_Prob,CLU_Prob,RAD_Prob,REFL_Prob,TEXT_Prob
0,person,0.9816,1795,583,1823,732,0.9708,0.1034,0.3186,0.2561,0.9019,0.8362,0.1745,0.6826
1,car,0.9811,943,600,998,645,0.9763,0.1201,0.1630,0.1837,0.6585,0.2182,0.7741,0.7817
2,chair,0.8201,81,640,129,703,0.1356,0.2684,0.3258,0.0143,0.7026,0.2638,0.8676,0.9881
3,traffic_light,0.9965,363,67,462,283,0.9800,0.0421,0.1480,0.0021,0.3407,0.2307,0.9415,0.9896
4,chair,0.8215,48,650,111,709,0.0636,0.3467,0.2925,0.0910,0.9526,0.3097,0.7025,0.9150
5,person,0.9814,1624,587,1662,683,0.8991,0.1514,0.3896,0.0490,0.4731,0.4494,0.7936,0.9885
6,person,0.9342,1599,587,1642,677,0.9749,0.0715,0.1719,0.0133,0.8542,0.4587,0.6674,0.9114
7,person,0.8817,1248,589,1275,624,0.9310,0.1540,0.3883,0.3405,0.7397,0.5672,0.4469,0.9514
8,fire_hydrant,0.9988,177,713,332,988,0.9939,0.0331,0.3890,0.0016,0.2575,0.9919,0.6209,0.8126
9,person,0.9944,377,607,425,713,0.9646,0.2655,0.5297,0.6594,0.8062,0.2827,0.5568,0.9565
10,car,0.9875,867,594,974,670,0.9575,0.1789,0.2201,0.0160,0.7463,0.0744,0.9847,0.8166
11,chair,0.9015,217,641,261,704,0.0216,0.3954,0.3056,0.0199,0.6622,0.1603,0.8565,0.9768
12,car,0.9910,792,605,866,662,0.9771,0.1754,0.1959,0.0830,0.6174,0.3806,0.8667,0.9068
13,chair,0.9592,224,641,272,705,0.0618,0.3852,0.3771,0.0206,0.7031,0.2256,0.9036,0.9614
14,bus,0.9985,998,509,1237,675,0.9651,0.0889,0.4315,0.0446,0.9640,0.4189,0.8901,0.8145
15,car,0.9952,1194,578,1791,872,0.8919,0.2942,0.5044,0.0212,0.8120,0.6202,0.8761,0.8250
16,person,0.9776,1666,583,1718,694,0.9791,0.1828,0.4655,0.1427,0.8956,0.3484,0.6688,0.9746
17,person,0.9810,414,605,442,681,0.5640,0.3369,0.3419,0.4934,0.8337,0.4221,0.5965,0.8125
18,dining_table,0.8549,33,647,121,710,0.0847,0.3999,0.2843,0.0535,0.9157,0.2282,0.7746,0.9683
19,chair,0.9127,234,644,298,705,0.5117,0.6901,0.3410,0.0399,0.9075,0.3079,0.8401,0.9032
20,chair,0.8603,14,643,59,704,0.0953,0.2905,0.3818,0.0640,0.9268,0.1436,0.9482,0.9882
21,person,0.7286,1696,585,1719,635,0.3921,0.1747,0.4129,0.2591,0.8744,0.6053,0.5149,0.3365
22,chair,0.9531,305,642,364,702,0.2785,0.5478,0.4136,0.1415,0.9736,0.5254,0.7566,0.8802
23,person,0.9419,1584,589,1628,669,0.9730,0.0811,0.4780,0.0275,0.8717,0.4122,0.8570,0.9924
24,chair,0.8536,7,644,57,708,0.1503,0.2959,0.4539,0.1117,0.8896,0.3377,0.8819,0.9934
